PostID|Time|UserName|Text
01|2020-05-01_20:23:32|Lalka|kjgvurbt rvrt555
01|2020-05-01_20:28:05|Anonimus|09984848
01|2020-05-01_20:41:11|Anonimus|ololktifirnf48f4 
01|2020-05-01_20:41:23|ololo|123
01|2020-05-02_22:25:00|Anonimus|putska
01|2020-05-02_22:25:11|Anonimus|puts
01|2020-05-02_22:25:19|Anonimus|120993894
01|2020-05-02_22:25:33|Anonimus|polopolo[p
01|2020-05-02_22:25:47|Anonimus|dididididi
01|2020-05-03_20:23:32|Lalka|kjgvurbt rvrt555
01|2020-05-03_20:28:05|Anonimus|09984848
01|2020-05-03_20:41:11|Anonimus|ololktifirnf48f4 
01|2020-05-04_20:41:23|ololo|123
01|2020-05-04_22:25:00|Anonimus|putska
01|2020-05-04_22:25:11|Anonimus|puts
01|2020-05-04_22:25:19|Anonimus|120993894
01|2020-05-05_22:25:33|Anonimus|polopolo[p
01|2020-05-06_22:25:47|Anonimus|dididididi
14|2020-05-03_14:09:27|Anonimus|ШЛЮПКИ???
